Question,Type,Response
Better Place to Work Analysis,Improve/Good,Improve security badges so the employee's name can be read.
Culture Analysis,Improve/Good,"Improve the experience of remote employees by providing them the same level of access to opportunities given to Cincinnati based staff (i.e. access to game tickets, etc.). All employees should expect the same level of treatment."
Better Place to Work Analysis,Improve/Good,Improve the lag time on Stache
Better Place to Work Analysis,Improve/Good,"Improve the transparency across and within departments. The weekly business meeting and the presentation of that information to departmental groups is a good start but it can go farther. Would like to see us get to a place where all full time employees can be trusted with sensitive information and feel in the loop about current events from both the business and baseball side of the organization. Understanding that some topics must be kept to a very small group, there is still too much ""inner circle"" communication and discussions that occur before or after official meetings."
Better Place to Work Analysis,Improve/Good,"Improved Benefits. 

A fitness / wellness discount. Possibly a monthly stipend that can be applied towards fitness and wellness. 

Diversity & inclusion programs. Highlight diversity in the organization. 

Streamline work from home options throughout the organization instead of leaving it up to department heads. 

It is difficult to receive pay increases. This has effected and will continue to effect turnover. Need to improve reward system. Pay increases should increase with responsibility. Many employees have been forced to undertake additional work caused by high turnover. The increased workload and responsibility should not be expected unless partnered with pay increases. 

Increased PTO. 

Increase Paternity Leave. 3-5 days is not nearly enough time and doesn't even fall to standard with the majority of organizations. "
Better Place to Work Analysis,Improve/Good,"Improved work life balance, a more flexible working schedule, and more opportunities to improve ourselves."
Reward & Recognition,Improve/Good,"Improvement in the consistency of this has been noticed. The Reds do a nice job on the high level which is important, but regular recognition and support at the manager level is even more important."
Culture Analysis,Improve,"In a team oriented organization you are only as strong as your weakest link. Unfortunately, there are examples of poor behavior, bad values and allowed bad behavior when it comes to what employees are asked to do as part of their jobs. The management has allowed bad employees to hold certain departments captive through their refusal to hold the bad employees accountable to the same standards as everyone else. In order to fix this particular culture, management must hold everyone to the same standards. If an employee is unwilling to do parts of the job or is found to be in violation of policies and refuses to come up to the Reds standard then that employee should be dealt with."
Morale Analysis,Improve/Good,"In addition to our regular PTO, MAKE employees take off 1 day a month as a mental health day.  "
Reward & Recognition,Improve/Good,"In general we as an organization need to improve the way employees are recognized and rewarded due to performance, loyalty, and length of career."
Culture Analysis,Very Good,In my department things get done also there is plenty to to 
Better Place to Work Analysis,Improve/Good,"In my experience, this is a good place to work. I am pretty happy here, otherwise I wouldn't still be here. One area that I think could improve is our vacation/PTO allotment. I often hear employees discussing their PTO allotment with a scarcity mindset, and it's disappointing that they have to do that. Time out of the office is important for keeping employees engaged and enthused about their time in the office. Phil is the first to always thank staff and their families for the time sacrifices made during the season, and an easy way to reward that would be by giving employees more time off to use as they see fit. The last team I worked for had an unlimited PTO policy. I am not asking for The Reds to copy that, but I do feel that employees who have been here less than 15 years don't have enough PTO. 

I want to be clear that I am not referring to ""flex time"" (i.e. time out of office in the same week as home games to try and balance out the amount of total hours spent at the ballpark), but actual PTO that employees can use when they need, with approval, without having to provide justification. Flex time is important too, but separate from the feedback that I am giving in this response."
Culture Analysis,Improve/Good,"In my opinion, culture should include character.  This could include what makes the Cincinnati Reds different from other organizations?  What are our pillars (core values) that define us as an organization? "
Reward & Recognition,Improve/Good,"In my opinion, most employees would like to be compensated through a higher salary than only at certain times."
Morale Analysis,Improve/Good,"Incentives 
More PTO"
Reward & Recognition,Improve/Good,"Incentives and rewards would be the highest form of praise I think. Not sure on the ideas for those, but I think we do a great job already with it. Prizes to other events around town gift cards etc. are options."
Better Place to Work Analysis,Improve/Good,Increased compensation. 
Reward & Recognition,Improve/Good,"it feels good, but is no what I work for it. "
Morale Analysis,Improve,It goes back and forth. Some days we are allowed to do our work and teach the kids about life and baseball. Other times its full of second guessing and questioning 
Culture Analysis,Improve/Good,"It is important we bring back events we used to do prior to Covid. For example, Kings Island & the Louisville Bats games are important to our culture. I enjoy getting our entire organization together as often as possible. "
Better Place to Work Analysis,Improve/Good,"It is my opinion the Reds do a good job of making our office a good place to work.  The atmosphere is friendly and generally, and for the most part the facility is a comfortable environment with a few exceptions.  
The results of COVID presented opportunities for employers to evaluate the work-life balance for their employees. It also presented challenges for employers as competition for good talent increased across many industries.  
Suggestions:
1. From a facility perspective the office could be cleaner.  Employees are not held accountable for keeping their work areas neat. There are times the hallways and work areas are littered with boxes, hand carts, and other items.  It seems like people assume someone will clean up behind them. Coming into a clean and organized office can set a positive mood for the workday.
2.  A flexible work schedule is and will always be an important topic of discussion for the majority of our employees.  I believe the Reds view of flexible work schedules having to be universal for all is not the correct approach. It is my opinion that guidelines should be established based on the needs of the position.  I know of no major company where work schedules are universal across all departments. With the Reds, there are essential positions that require an employee to be present in the office each day.  There are other departments that can allow flexibility to have a hybrid schedule to work from home or office.  I feel the Reds need to establish parameters for hybrid schedules based on the demands of the job.  Personally, I prefer to work in the office, I am not a work from home person.  However, when situations arise where working from home would be beneficial, it would be nice to have the flexibility.  
The hybrid model would be managed by each department. Employees would have the option to work from home based on the needs of the department and would have limitations to the number of occurrences. Each director will be responsible to ensure proper staffing in the office.

Additionally, I would like to see the Reds establish in-season and off-season operating hours.  In-season 8:30-5:30.  Off-season 8:00-5:00.  The off-season hours of operation would run from November 1 - February 28/29.  

"
Culture Analysis,Improve/Good,It is very stressful with less staff and more work as Reds employees leave.  It seems a lot of old positions are spread out among the employees left when it feels we can already barely keep up with the current workload.  This is an environment where Im afraid to make a mistake.
Morale Analysis,Improve/Good,"It may seem odd, but I think doing some simple things could increase morale. For example, allowing employees to work outside on occasion. Getting a little sunshine would be great for morale! What about having an employee family event on the field at the end of the season? Not everyone plays softball :) What about ""bring your kid to work day/job shadow day""? Other Clubs host events like this."
Morale Analysis,Improve,"It would be nice to see more of a focus on ""work life balance."" Working a majority of the games throughout the season can get strenuous, and it would be nice to have the autonomy to work in a more flexible schedule, or obtain more floating vacation days depending on how many games and weekends worked. 

There are a lot of great parts of working for the Reds. However, the biggest frustration is the lack of compensation. I'm sure there are multiple other entries saying the same thing. It's quite frustrating at times that this organization makes earning an increase in pay so difficult. Most companies have an annual % increase in pay to reward employees for their hard work and loyalty to the organization. Year after year after proving your worth, asking for a raise is like pulling teeth. It feels like sometimes this organization would rather pay much lower than market standards to their staff until they are essentially forced to leave the Reds to find work that pays what they are worth. Over the last decade, we have seen numerous people of high value leave because the Reds will not properly compensate what staff is worth. Rather than reward employees for their hard work and company loyalty, it feels as if the Reds are so quick to let someone go and hire a younger, less qualified candidate to do similar work for far less pay. 

I truly believe this a special place to work, and am confident most people feel the same way. It's truly sad that this organization has not been willing to increase compensation, but mask it with title changes with no additional pay. I fear this will lead to many others leaving the Reds in the coming years if this is not revamped. We want to stay here!! Please just be willing to pay us what we are worth.  "
Better Place to Work Analysis,Improve/Good,It would be really helpful for many in baseball ops if there was a 'working suite' for employees below a director title weekday games (when one is available) as there was in 2022. This would help increase productivity while still enjoying the game!
Culture Analysis,Very Good,It's been pretty good so far for me 
Culture Analysis,Very Good,It's getting better. We still have a ways to go.
Morale Analysis,Improve,"It's hard for me to feel 100% engaged every day for 8+ hours a day, 40+ hours a week. Sometimes I feel like my morale or my team's morale is low. Maybe having at least one day a week we could work from home would help because I've noticed that when I'm able to work one day from home during the week I feel more mentally and physically rested which in turn makes me feel more ready to take on the next day. Another thing we could do is allow us some time to take a class or dedicate some time for us to learn a skill that would help us improve in some way. I feel like it would benefit us and the Reds because it would give us a break from our every day routine and would make us better at our jobs."
Reward & Recognition,Very Good,"Its just remarkable about the organizations doing it , the Reds way"
Morale Analysis,Improve,Its more of a personal effect that has to happen. I feel as if alotr of people in the admin dont talk to the maintenace staff on passing
Morale Analysis,Improve,"It's no secret that working in baseball/sports can be draining. That's part of what you sign up for, and I get that. But if the pay isn't going to match that work, then having some additional benefits would be nice. Not to mention that it's frankly even more cumbersome when the team isn't performing (which has been the case for 10 years now). That absolutely affects morale (and pay) and trickles down to employees. Things like a couple designed WFH days allowed per month, early dismissal on Fridays when the team is gone, etc. could go a long way. Not all departments can leave for happy hour after every day game or get full days off after homestands, so finding something works universally would be a big step."
Reward & Recognition,Improve/Good,Jami Itiavkase along with the whole entire production department have gone above and beyond with making the transition as a new hire go smoothly and have made being new to Cincinnati not stressful. They are extremely helpful and always come into work with positive attitudes and have made it extremely welcoming. 
Morale Analysis,Improve/Good,Just making sure they feel that they're treated the same as all others.
Culture Analysis,Improve/Good,"Just speak of in the field experience. The Reds organization has long history of quality play on the field and I feel that history is not being preserved at its fullest degree. Yes we have a museum thats fantastic in Cincinnati, but in the lower levels of our I feel we dont have enough older and experienced past players to help and pass along the history of the Reds to the younger players."
Morale Analysis,Improve/Good,Just support each other in whatever roles we have!
Culture Analysis,Improve,"Just to have leadership truly take in the suggestions everyone has spent time writing. We have some incredible staff and I would hate to lose them over a few extra days of PTO or the ability to WFH more. Trust that your staff will get their work done and if there is an issue that arises with someone abusing the policy, address it with that person and don't punish the entire organization who are hard workers and believe in the work they are doing. "
Culture Analysis,Very Good,Just work hard and be the best one can be! That seems to have been the historic American work ethic!
Culture Analysis,Improve/Good,keep everyone in your work area aware of what is happening now and later
Culture Analysis,Improve/Good,"Keep in mind staff in the DR, Arizona, and Cincinnati as some of the promotions only apply to what happens in Cincinnati. Some of the staff in Arizona have never been in Cincinnati, it would be great to get the entire organization together in Cincinnati at some point. "
Better Place to Work Analysis,Improve/Good,Keep it simple 
Better Place to Work Analysis,Improve/Good,"Keep some of the older employees in the organization to help serve as mentors and share there experiences and help groom the next generation of employees, on and off the field "
Better Place to Work Analysis,Very Good,Keep the current culture. It is a great work place top down bottom up! 
Culture Analysis,Improve/Good,Leadership listening to employees and their suggestions. 
Better Place to Work Analysis,Improve,"Leadership. We need signals of direction (here is where we are, and here is where we want to go). What are we aiming for in baseball, business, and the community? What are we trying to do? Otherwise were just going through the motions. 

This requires significant transparency and visibility from senior leadership. We need to see them more often. We need to hear from them much more often (and not just about how baseballs economics are “stacked against us” in a “small market”). Be willing to admit when/where things went wrong; dont just blame the system.

Below the leadership level, I think we can create a better workplace by maximizing interactions/collisions (see Culture section), providing breakfast/lunch opportunities (“we all need to eat” plus it maximizes interaction), and generally being better at reward & rec (like being a lot better at promoting). "
Culture Analysis,Improve/Good,Less meeting
Morale Analysis,Improve/Good,Let people work from home a day or two a week. We have so many meetings on zoom but are still required to do them from our desk. Saving people time commuting and reducing their gas and childcare expenses would make a big difference in how they feel about their jobs.
Better Place to Work Analysis,Improve,"Let the people do their jobs, I know this place involves collaborating but sometimes there are too many cooks in the kitchen that don't need to be.

COMMUNICATION!! One of the hardest parts of working in this place is the communication within departments and throughout the organization. It is unbelievable how there are things kept in secret from a person that needs to know, especially when the job could be done easier. Instead they are finding out from another person or are finding out at the last minute and has to work at the last minute. People within the organization need to be open with their coworkers in order to have a better balance at work. 

It is very difficult for those people who don't have to work 9 to 5 to attend group outings or extracurricular activities outside of work, and when there are off days during the season, those are truly necessary for those who work games, not just home games, to take the days off.  Sure, there are times when work calls for you at late hours of night, however, people need to be mindful of people's time away from work. "
Reward & Recognition,Improve/Good,"Let's start with paying employees what their overall value is to the Organization. Reward great work (ie exceeding goals) with yearly salary raises (not one every 3-5 years).  We should receive a bump in salary that keeps up with annual cost of living/inflation increases. Maybe that would help with long-tenured people looking to leave the Organization.  Those that remain/stay long term should be rewarded for their loyalty.

The Total Rewards statement I received made me laugh, as it made me want to look for a higher paying job. I know it was intended to enhance employee engagement, but its impact was exactly the opposite.

Also, please stop joking that when people get promoted that they are going to get paid the same for doing more work. 

Other than the above, maybe offer choices for rewards instead of after 5 years you get this, or after 10, 20+ you get that.

Monthly newsletters are cool. Reds Way is fine. Customized jerseys for long-tenured employees are cool, but doubtful very many people will end up getting there in the future..."
Morale Analysis,Improve,"Limit turnover, those that stay end being over worked and overwhelmed. 

Leaders have a huge responsibility when it comes to morale. How leaders make people feel will have the largest impact on morale. What are we doing to teach/improve this at the sr. leadership level? How do do the Sr. Level leaders at this organization make people feel? "
Better Place to Work Analysis,Improve/Good,"Listening and paying attention to the employees. Not even just in terms of these surveys, but really just being aware and reading the room throughout the year. It's pretty obvious when morale is low around here or everyone is being overworked, so recognizing that and addressing it in some way at times should be a priority rather than just piling on more work on moving on to the next ""big"" thing that we'll overthink and overspend on."
Reward & Recognition,Improve/Good,"Look at all the issues of the reds newsletters, there has never been any recognition of any of the people who live in the tunnel."
Reward & Recognition,Improve/Good,Loving the new rewards system and that it has lasted. So many times we push these to the side for the sake of getting work done and glad to see they have made it this far.
Better Place to Work Analysis,Improve/Good,Maintain good work-life balance. Best benefit to working for this organization.
Morale Analysis,Improve/Good,Make baseball people feel like their voice has as much rank as the analytical people. Baseball experience is so valuable. 
Reward & Recognition,Improve/Good,make employees aware of when they are doing a good as well as bad job
Reward & Recognition,Improve/Good,"Make the job itself rewarding, then rewards and recognition are simply redundant. "
Reward & Recognition,Improve/Good,Make these more prominent - I did not even know they existed
Morale Analysis,Improve,Make us feel respected in our positions
Morale Analysis,Improve,"Managers need to encourage and support employees independently, while building a team model of excellence. "
Better Place to Work Analysis,Improve/Good,Maybe a few more meetings.
Culture Analysis,Improve/Good,Maybe a monthly lunch (ball park fare-during season) Organization update.
Reward & Recognition,Improve/Good,"maybe and employee spotlight? second and third shift particularly in command center aren't included in most lunches or early afternoon events. Most events seem to take place around 11-1 and report time for command center second shift isn't until 2 pm.
Third shift doesn't leave until 7 am maybe a morning coffee and donut social would include them. "
Culture Analysis,Improve/Good,"Maybe more ""daily challenges"" to create some sort of excitement each day of work. Whether it is a work related challenge or non-work related personal challenge."
Better Place to Work Analysis,Improve/Good,Maybe more cross department education and interaction. The more we understand the more we appreciate.
Culture Analysis,Improve/Good,Maybe more rally events to pump up the staff.
Reward & Recognition,Improve/Good,Maybe recognize some of the full time people on the field like you do with part time people. Not my thing but I think it is for a lot the personal. That way they can be recognized before family and friends.
Culture Analysis,Improve/Good,Maybe sharing wins or positive outcomes for the many initiatives just to inform staff of what is working and maybe even what isn't.
Reward & Recognition,Improve/Good,Maybe there could be more initiatives in place that make us want to work harder in order to get some reward in return. I thought the two days off that were offered to us for working Redsfest (even though I was required to work it) is an example of an initiative that I felt was particularly successful.
Morale Analysis,Very Good,"Me siento agusto con el compartamiento de todos mis companeros del equipo (""I feel comfortable with the behavior of all my colleagues on the team."")"
Better Place to Work Analysis,Improve/Good,"Mejorar las condiciones salariales en general. Se debe premiar el esfuerzo de aquellos trabajadores que trabajan dando el 100% cada día. Ejemplo reconocimiento público de dicho empleado. Puede ser el empleado del mes, etc."
Morale Analysis,Very Good,ML baseball is a difficult and tough business and as a scout so much of our morale being upbeat comes from success on the field. Our day to day involvement in the business end is very limited and as such we depend on the scoreboard to gauge how its going. My working environment is great and morale would be greater bringing a Championship to Cincinnati…
Reward & Recognition,Improve/Good,Monthly employee recognition from each department. 
Morale Analysis,Improve/Good,"Monthly or quarterly ""temperature checks"" with surveys like this. 

More frequent appreciation/wellness/mental health break events like Stretch Lab, Coffee/Smoothie bar, etc. "
Reward & Recognition,Improve/Good,Monthly recognition in-department 
Reward & Recognition,Improve/Good,Monthly reviews from supervisor on progress 
Morale Analysis,Very Good,Morale has been high since joining the Reds.
Morale Analysis,Improve,"Morale in our corner of the organization is very low. For example, we knew nothing of the opportunity to go to the  Field of dreams until we heard others in the company talking about it. "
Morale Analysis,Improve,Morale in the workplace could be strengthened by rewarding employees with incremental pay increases as opposed to large jumps after longer periods of time.
Morale Analysis,Improve/Good,"Morale is created by leaders who sincerely care about their employees..Anything that you do to strengthen their working environment and benefits of being A Red, should increase morale "
Culture Analysis,Very Good,Morale is great
Morale Analysis,Very Good,Morale is high
Morale Analysis,Very Good,"Morale is high in our department, and our attitude towards others within our department is very good. We pull for each other. "
Morale Analysis,Improve/Good,"Morale is pretty good from my perspective.  That increases when people feel valued, feel appreciated, and recognized for their contribution to a greater picture.  This is influenced by the type of people hired and employed.  So increasing morale begins with the hiring process."
Morale Analysis,Very Good,Morale is very good
Morale Analysis,Very Good,Morale starts at the top and the Reds seem to be excelling in this area.  The top leadership could always get out more especially during games.
Morale Analysis,Very Good,"Morale to me is how you view your own mental well-being at work.  Personally, things have been great for me here over the last couple years which is really why a continued focus on work/life balance and having a flexible work lifestyle in an industry that can be very time demanding in the summertime is important. 

Working in baseball often requires us to be pulled from our family's during nights, weekends and summer holidays so all I ask is that we continue to make the effort to recognize those small sacrifices and allow for flexibility when possible.  "
Culture Analysis,Improve/Good,"More ""events"" mixing departments to get to know other people in other roles."
Better Place to Work Analysis,Improve/Good,"More activities like we used to have...steaks at grail, bats games for example"
Culture Analysis,Improve/Good,"More collaboration with other departments within the organization (Ticketing, Marketing, Social Media, etc.) and opportunities to get to know those departments "
Culture Analysis,Improve/Good,More collaborative events between the business and baseball sides
Morale Analysis,Improve/Good,"More communication & showing care for people's lives is usually the best way to improve morale besides the obvious answer of more resources into winning and increasing wages to reflect higher inflation & costs of living. An emphasis, especially during the off-season to bring employees together and going back to the zoom calls and efforts from 2020 would be a huge morale boost. In particular, when our General Manager has been sending out personal holiday cards during the off-season, that is a small example of making us feel important and cared about. "
Culture Analysis,Improve/Good,More competitive compensation and benefits package 
Better Place to Work Analysis,Improve,"More competitive pay and benefits. There are a lot of valuable perks, but total compensation is still well below industry standards. We can ride the prestige of being a major league baseball team further than most industries, but at some point just getting the best talent requires ignoring the ""baseball discount"" as anything more than a tiebreaker - we should be offering salaries and packages that are equivalent to other industries and getting the best by being a more interesting place to work than GE or a bank. Especially with investment in the major league team declining, there should be a significant amount of resources to re-allocate to much more efficient spending - if we're not spending $5 million for a middle reliever, where does that money go?"
Better Place to Work Analysis,Improve/Good,More competitive pay.  We sacrifice financially for loving the job and environment.
Morale Analysis,Improve/Good,More connection between Arizona baseball operations staff and Cincinnati baseball operations staff.
Culture Analysis,Improve/Good,"More consistent organizational meetings with the entire staff so that employees can get to know one another better, share ideas and learn best ways to communicate with one another."
Culture Analysis,Improve/Good,"More cross-departmental interaction. There are clear divides between some departments here that do not need to exist if we just took the time to address them and make sure everyone in the Org (at least everyone in Cincinnati) meets/knows each other and what we do.  However, as stated in my previous answer, our lack of a willingness to staff to the degree we need to is a hurdle for us here, as certain departments just absolutely do not have the requisite time to participate in such events/activities.

Ran out of time in my 5 minutes to list any further ideas. Encourage us to have more targeted questions on the next iteration of this. Will likely help response rates."
Morale Analysis,Improve/Good,"'-More employee events - even smaller scale department events. Especially during the high of the season when burnout occurs. 
-Random afternoons off after long homestands
-All-Star Break Holiday. A lot of teams shut the front office down during the week of the All-Star game. "
Culture Analysis,Improve/Good,More employee input.
Culture Analysis,Improve/Good,More employee outings
Better Place to Work Analysis,Improve/Good,"More employee recognition/rewards
More PTO"
Better Place to Work Analysis,Improve/Good,More events planned for staff working in Arizona.  
Morale Analysis,Improve/Good,More events toghether.
Better Place to Work Analysis,Improve/Good,More flexibility in off-season work schedule i.e. Work from Home options
Morale Analysis,Improve/Good,More free lunches throughout the year. 
Culture Analysis,Improve/Good,"More group activities (e.g., TopGolf)"
Reward & Recognition,Improve/Good,More individual awards.
Culture Analysis,Improve/Good,More information from leadership team on direction of business and baseball ops 
Better Place to Work Analysis,Improve/Good,more input from the employees to management
Culture Analysis,Improve/Good,More integration with other departments would be the only thing I could think of. Getting to see what everyone does day in and day out.
Culture Analysis,Improve/Good,More intentional efforts to blend the different departments.  There are precious few opportunities to be together and staffs typically don't mix with others during larger group meetings and functions.
Culture Analysis,Improve/Good,More interaction between different departments.
Better Place to Work Analysis,Improve/Good,"More involvement in employee decision making, more uniformity in rules. "
Reward & Recognition,Improve/Good,"'-more leadership recognition outside of just tenure status
-Engage employees with sports team  ( opening day gift/ personal small note for all employees)
-first day, anniversary gifts with products from partners to reduce cost on company "
Culture Analysis,Improve/Good,More management training for the younger leaders as they're taking on more roles as the more experience move on.
Reward & Recognition,Improve/Good,More monetary rewards. 
Better Place to Work Analysis,Improve/Good,More off days in Arizona. We work 6 or 7 days a week for 11 months. 
Reward & Recognition,Improve/Good,More opportunities to gather outside of work when the team is home vs on the road.
Culture Analysis,Improve/Good,More opportunities to serve our community together. There is a lot of research out there on the many levels of benefits that come from volunteering. I also think more options for mentorship would be helpful...maybe with someone you wouldn't necessarily work with. Maybe something you can sign up for if you would like to participate and then you get matched with someone. 
Reward & Recognition,Improve/Good,More options of gift cards not all are fans of Larosa's or Skyline.
Reward & Recognition,Improve/Good,"More recognition throughout the entire department for employees who exceed expectations
  "
Morale Analysis,Improve/Good,More Reds sponsored staff outings to boost morale  
Reward & Recognition,Improve/Good,"More Redsway, offer up good seats to employees for doing a good job, ie not missing a game, always being positive."
Better Place to Work Analysis,Improve/Good,More resources  upgrading work space 
Better Place to Work Analysis,Improve/Good,More team building exercises or team building outings. 
Better Place to Work Analysis,Improve/Good,"More team events like the lunch & learn that HR had for the Boys of Summer. More events for female staff. More days for maternity & paternity leave. Summer Fridays off, some other teams do this. Reds employee fun Olympics. This would include fun competitive games like corn hole, pickleball, dodgeball, etc.   "
Culture Analysis,Improve/Good,"More time for outside activities and conversations to get to know coworkers beyond their abilities at work-related tasks. Off-premise gatherings, yet still local for convenience, cost-effectiveness and accessibility - being more adventurous and creative than getting a drink across the street (visiting a museum, fowling, escape rooms, hike in a park, softball, kickball, etc, etc). Could also be events/roundtable discussions at the office."
Morale Analysis,Improve/Good,More time off
Culture Analysis,Improve,"More transparency and better communication. And that starts from the top. It's hard to get behind and believe in what we're doing if we don't really know what we're doing. We also went from hearing from someone at the top consistently to not hearing from that person at all. Certain events probably led to this being an intentional decision of sorts, which I definitely understand publicly, but going radio silent to your own company after 15 years of the opposite doesn't send the best message. Also, let people do what they've been hired and are supposedly empowered to do. The overmanaging or instilled fear of making a mistake does not allow people to be their best professional self and creates a culture that no one benefits from."
Better Place to Work Analysis,Improve/Good,"More WFH opportunities. Half days when the team is out of town on a Friday or before a holiday weekend. That used to happen in years past we would get an email saying thanks for your work on a long homestand, etc. "
Better Place to Work Analysis,Improve/Good,More work from home options for front office departments
Morale Analysis,Improve/Good,More work space. Suite to watch the game and work during day games.
Better Place to Work Analysis,Improve/Good,More work space. The space I work in is an area fit for maybe 3 people and we stack 6 people in there.
Better Place to Work Analysis,Improve,"More work/life balance and flexibility, better vacation time, or something similar. The corporate world is changing and evolving with the times, but we are not. The 40 hour work week is slowly disappearing. Some day's you have 16 hours of work that need to be done, and others you may have only 4 especially with our schedule. If your work is getting done in a timely fashion, yet you're hourly, you're still required to sit in the office and stare at your computer to hit 40 hours. Also, better pay is huge. Many full-time staff have to work second jobs and/or live paycheck to paycheck. It is not sustainable lifestyle, and that is why so many incredible and irreplaceable employees have left. "
Better Place to Work Analysis,Improve/Good,"More younger, diverse voices amongst the leadership.  More autonomy for mid-level decisions as opposed to everything funneling through a few individuals."
Morale Analysis,Improve/Good,"My idea to strengthen morale is a better attitude as employees. Our ball club is not the best ball club in the MLB but I've taken so much pride in working for this team because not everyone gets to wake up and say they work here. Having better attitude as employees should be a strength that everyone carries, no matter the outcome. I believe it would help strengthen the morale at the Cincinnati Reds. "
Morale Analysis,Very Good,"My job satisfaction is high. But if you support those that work for you, they will support you."
Morale Analysis,Improve/Good,My morale is good. More time off would strengthen my morale.
Reward & Recognition,Improve/Good,"My only recommendation is to offer better incentives for Reds Way rewards, outside of Skyline, Larosa's, etc. I think everyone would appreciate a better selection including Amazon, Kroger, local restaurant gift cards, etc. "
Better Place to Work Analysis,Improve/Good,"My suggestion would be to add more staff to BPO Maintenance so we could distribute the workload more evenly and allow for more room to let people take vacations on a more flexible schedule. There are many times through out the year where dates are ""blacked out""."
Reward & Recognition,Improve/Good,n/a
Reward & Recognition,Improve/Good,N/A
Better Place to Work Analysis,Improve/Good,N/A
Better Place to Work Analysis,Improve/Good,N/A 
Morale Analysis,Improve/Good,"N/A - just started in Nov. Still feeling this out,"
Reward & Recognition,Very Good,NA
Better Place to Work Analysis,Improve/Good,Na
Better Place to Work Analysis,Improve/Good,Need to provide more than our competitors in every facet of benefits to make it difficult for people to leave.
Reward & Recognition,Improve/Good,Newsletters need to be put out on time. At the beginning of the month not at the end. 
Reward & Recognition,Very Good,No changes
Morale Analysis,Improve/Good,No ideas really. We just need to win on the field and the culture both on the baseball and business side will flourish
Better Place to Work Analysis,Very Good,No I'm enjoying it 
Culture Analysis,Very Good,No issues with the culture. We are very customer friendly and have good working relationships with those outside the organization.
Better Place to Work Analysis,Very Good,No suggestions. I enjoy everyone who I work with and we have clear goals/communication. 
Reward & Recognition,Improve/Good,none
Reward & Recognition,Very Good,none
Reward & Recognition,Very Good,None
Reward & Recognition,Very Good,None
Better Place to Work Analysis,Improve/Good,None
Better Place to Work Analysis,Improve/Good,None
Better Place to Work Analysis,Improve/Good,none
Better Place to Work Analysis,Improve/Good,None
Better Place to Work Analysis,Very Good,None - quite pleasant.
Culture Analysis,Very Good,None as for now. I think the culture here is outstanding. 
Better Place to Work Analysis,Improve/Good,None as of now
Reward & Recognition,Very Good,None as of right now. 
Better Place to Work Analysis,Improve/Good,None at this time
Better Place to Work Analysis,Very Good,None at this time. I think this is a great place to work and I'm happy with everything here.
Morale Analysis,Very Good,None needed
Reward & Recognition,Improve/Good,None of this matters. Just pay your employees what they are worth and that is all the rewards and recognition that is necessary. 
Better Place to Work Analysis,Very Good,None off the top of my head. I have been in a few organizations and the 'family' feel here makes for a very comfortable environment. The care I feel from the org is great. 
Morale Analysis,Very Good,None that is already evident. I enjoy the ego less environment that is currently in the AZL. 
Better Place to Work Analysis,Very Good,"None, I am thoroughly enjoying the work and work environments with Dayton and Chattanooga."
Better Place to Work Analysis,Improve/Good,"None, I work off site"
Reward & Recognition,Very Good,None.
Better Place to Work Analysis,Improve/Good,None. 
Better Place to Work Analysis,Very Good,None. Everything is good
Morale Analysis,Very Good,None. I think morale is good
Reward & Recognition,Very Good,Not much to add here. 
Better Place to Work Analysis,Improve/Good,Not sure if these already occur but I think it would be good to have summer happy hours to get to know individuals outside of the workplace.
Better Place to Work Analysis,Improve/Good,Not sure.. I am not in the day to day office structure of the reds
Reward & Recognition,Improve/Good,Not that concerned w getting recognition for doing my job
Reward & Recognition,Very Good,nothing I think its great as it is
Morale Analysis,Improve/Good,"Nothing strengthens Reds morale more than a winning baseball team.  

Having a strong culture will strengthen morale.  Leaders trusting, that their employees have the organizations best interest at heart and care deeply about the organization and the city.  Leaders continuing to grow and develop their own leadership of themselves and the people who report to them.
"
Reward & Recognition,Improve/Good,Occasionally use an unsold suite or group areas as a perk to recognize departments or staff members.
Better Place to Work Analysis,Improve,"Of course, better pay, better benefits is always what employees want.     I want to walk in the door and feel appreciated for the work I have done.   I want to be listened to and not shunned/dismissed when presenting for my concerns/viewpoints on topics, procedures and policies.  I take pride in my work and I want those around me to value, respect and appreciate that.  

Respect and appreciate me and I will give you all I got!"
Better Place to Work Analysis,Improve/Good,Offer a work from home option a few days a week for office staff
Better Place to Work Analysis,Improve/Good,Offer more Reds gear to employees  
Better Place to Work Analysis,Improve/Good,Offer work from home once or twice a week; much more productive.
Reward & Recognition,Improve/Good,On Anniversaries/Birthdays - offer half days or a vacation day for certain milestones. Or something that has more meaning. 
Morale Analysis,Very Good,On Scouting our morale is high and look forward to going finding players
Morale Analysis,Improve/Good,"One area that may strengthen employee morale is understanding someone else's job.  My morale is strong as I truly enjoy my job and coming to work each day.  As I thought about the question of strengthening morale I realized that my morale is not just based on the outlook I have in regard to my job, it is also based on my understanding of the roles of other employees in departments outside of mine.  
My position gives me the opportunity to understand processes in other departments.  I have shadowed with employees to better understand their responsibilities, and how my actions may impact their job.  As I learn about their roles, I have improved the way I do things as my actions impact other departments.

Example, I was unaware of the process and time invested by Creative Services to complete a work order.  It may be a small request on my part, however I did not take into account the number of work orders they had and how long it takes to complete a request until I spent time to understand their processes. 
Not only did this open my eyes and appreciate this group more, I believe their morale improved by the appreciation that I expressed in the work they do. Simple understanding and appreciation of another person's role can increase morale for myself and others."
